ประเภท,ราคา,ทำเล,ขนาด,Owner Score,Link
ที่ดิน,"ขายถูก🚩950,000 | ลดราคาจาก 1.1 ล้าน เหลือ 950,000 ถูกสุดในย่านนี้ | ลดราคาจาก 1.1 ล้าน เหลือ 950,000 ถูกสุดในย่านนี้",ติดถนนสัญจร | ใกล้สวนทวีชล | ใกล้เซ็นทรัลเฟส 11 กม. | เข้าซอยจากถนนทางหลวงแค่ 200 ม. | ทางตรงเซ็นทรัลเฟส 11 กม. (แยกศาลเด็ก) | จากถนนเชียงใหม่-ดอยสะเก็ด | กลางชุมชน มีเพื่อนบ้าน ร้านค้า โดยรอบ | ต.เชิงดอย อ. ดอยสะเก็ด จ.เชียงใหม่ | ใกล้สวนพฤกษ์ศาสตร์ ทวีชล 1 กม. | ใกล้รพ.ดอยสะเก็ด 3.5 กม. | ใกล้ทางหลวง 118 (ชม-ดอยสะเก็ด) แค่ 200 ม. | มีรถประจำทางผ่านปากซอย,80 ตรว. | กว้างประมาณ 11 ม. ลึก 30 ม. | 80ตรว.,9/100,https://www.livinginsider.com/livingdetail/2871134/Land-next-to-a-road-80-sq-m-near-Thaweechon-Park-near-Central-Festival-11-km-entering-the-all.html
บ้านเดี่ยว,ขาย 3.99 ล้านบาท*,"โครงการโรสรินทร์- ดอยสะเก็ด | โรสรินทร์- ดอยสะเก็ด, สันปูเลย | โซนเชียงใหม่–ดอยสะเก็ด (ท่ารั้ว-บ่อหิน) | Central Festival / Big C Extra / HomePro / Lotus / Makro ม.พายัพ / รพ.กรุงเทพเชียงใหม่ | Rosesarin Chiangmai",ที่ดิน 97 ตร.ว. (ใหญ่สุดในโครงการ) | พื้นที่ใช้สอย 230 ตร.ม.,9/100,https://www.livinginsider.com/livingdetail/2871697/Very-new-detached-house-Rosarin-Project-Doi-Saket-the-largest-land-in-the-project-In-this-very.html
บ้านเดี่ยว,ราคา 8.99 ล้าน ‼️ลดเหลือราคา 7.99 ล้าน‼️,หมู่บ้านลัดดารมย์ อิลิแกนซ์ เชียงใหม่ | ถนนวงแหวนรอบ2 แยกมหิดล | แยกพรอมมินาด้า | หมู่บ้านลัดดารมย์อิลิแกนท์ ต.ท่าศาลา อ.เมือง จ.เชียงใหม่,ที่ดิน 89.7 ตร.วา | พื้นที่ใช้สอยในบ้าน 240 ตร.ม,80/100,https://www.livinginsider.com/livingdetail/2871756/House-for-sale-in-a-luxury-project-Laddarom-Elegance-Village-Chiang-Mai-sold-below-appraised-price.html
บ้านเดี่ยว,-,ซอยหมื่นด้ามพร้าคต1 ถนนช้างเผือก ถนนศรีภูมิ เมืองเชียงใหม่ เชียงใหม่ | บ้านเดี่ยว + ที่ดิน ซอยหมื่นด้ามพร้าคต1 ถ.ช้างเผือก เมืองเชียงใหม่ เชียงใหม่ | ซอยหมื่นด้ามพร้าคต1 ถนนช้างเผือก ถนนศรีภูมิ ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ | ซอยหมื่นด้มพร้าคต1 ถนนช้างเผือก (แปลงมุม) คิดถนน 2 ด้าน,79.8 ตร.ว. | ขนาด 79.8 ตร.ว.,4/100,https://www.livinginsider.com/livingdetail/2871905/Land-detached-house-79-8-sq-m-Detached-house-land-Soi-Muen-Dam-Phra-Khot-1-Chang-Phueak-Road.html
ที่ดิน,"1,060,000 (ตรวละ 9,900)",ต.เชิงดอย อ.ดอยสะเก็ด | ใกล้ทางหลวงเชียงใหม่-ดอยสะเก็ด 500 ม. | ต.เชิงดอย ดอยสะเก็ด | เส้นทางตรงไปเซ็นทรัลเฟส 16กม. | เข้าซอย 500 ม. จาก ถ.เชียงใหม่-ดอยสะเก็ด | ต.เชิงดอย อ. ดอยสะเก็ด จ.เชียงใหม่ | ใกล้รพ.ดอยสะเก็ด 3 กม. | ใกล้ทางหลวง 118 (ชม-ดอยสะเก็ด) แค่ 500 ม. | เส้นทางตรงไปเซ็นทรัลเฟส 16 กม,107 ตรว. | ที่ดิน 107 ตรว.,15/100,https://www.livinginsider.com/livingdetail/2872192/107-sq-m-For-sale-9900-per-sq-m-Direct-route-to-Central-Festival-16-km-near-Chiang-Mai-Doi-Sa.html
บ้านเดี่ยว,[กรุณาระบุราคา] บาท,จังหวัดเชียงใหม่ | เชียงใหม่ | สนามบินเชียงใหม่ – ประมาณ 2 กม. | ห้างสรรพสินค้า – ประมาณ 2 กม. | โลตัส คำเที่ยง – ประมาณ 1 กม. | ตลาดธานินทร์,"ขนาดที่ดิน: 202 ตร.ม. | พื้นที่ใช้สอย: 1,200 ตร.ม.",80/100,https://www.livinginsider.com/livingdetail/2873020/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-3-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B9%83%E0%B8%95%E0%B9%89%E0%B8%94%E0%B8%B4%E0%B8%99-%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%F0%9F%93%9E-contact-062-496-6454.html
คอนโด,ราคาพิเศษเพียง 2.75 MB,เวียงพิงค์ แมนชั่น | ติดห้าง MAYA แค่ 200 ม. | ห้อง 503 ชั้น 5 | ใกล้ ถ.นิมมานเหมินทร์ | ห้าง MAYA เดินไปได้เลย เเค่ 1 นาที | ถนนนิมมาน 2 นาที | มหาวิทยาลัยเชียงใหม่ 5 นาที | มทร.ราชมงคลล้านนา 5 นาที | รร.สาธิตมหาวิทยาลัยเชียงใหม่ 9 นาที | ศูนย์ศรีพัฒน์ 8 นาที | โรงพยาบาลเชียงใหม่มหาราช 9 นาที,ขนาด 42.70 ตรม. | 1 ห้องนอน | 1 ห้องน้ำ | 1 ครัว | 1 ระเบียงใหญ่,9/100,https://www.livinginsider.com/livingdetail/2873178/Condo-in-prime-location-Wiang-Ping-Mansion-prime-location-next-to-MAYA-department-store-just-200.html
ที่ดิน,-,ต.หนองตอง อ.หางดง จ.เชียงใหม่ | ตำบลหนองตอง อำเภอหางดง จังหวัดเชียงใหม่,เนื้อที่ 557 ตารางวา | เนื้อที่ 557 ตารางวา หรือ 1 ไร่ 1 งาน 57 ตารางวา,90/100,https://www.livinginsider.com/livingdetail/2873457/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9B%E0%B8%A5%E0%B9%88%E0%B8%B2-%E0%B8%95-%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B8%AD%E0%B8%87-%E0%B8%AD-%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B8%87-%E0%B8%88-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%97%E0%B8%B5%E0%B9%88-557-%E0%B8%95%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B2-%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B8%B0%E0%B8%AA%E0%B8%B3%E0%B8%97%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%95%E0%B8%A3-%E0%B8%97%E0%B8%B3%E0%B8%99%E0%B8%B2-%E0%B8%9B%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9E%E0%B8%B1%E0%B8%81%E0%B8%AD%E0%B8%B2%E0%B8%A8%E0%B8%B1%E0%B8%A2.html
คอนโด,เสนอขายเพียง 1.78 ล้านบาท,เดอะจิ๊กซอว์คอนโดมิเนียม2 | ย่านธุรกิจ CBP และสถานทูตอเมริกัน เชียงใหม่ | Jigsaw 2 condominium | ใกล้สถานทูตอเมริกาใหม่ และ BigC Extra | อยู่ในบิซซิเนสปาร์ค | อยู่หลังสถานทูตอเมริกา | 7-11 อยู่ติดคอนโด | บิ๊กซีเอ็กซ์ตร้า 3 นาที | โรงพยาบาลกรุงเทพ 3 นาที | ม.พายัพ 3 นาที | ใกล้ Central Festival 5 นาที | Greenpark Community Mall 5 นาที,38 ตร.ม.,4/100,https://www.livinginsider.com/livingdetail/2873517/Room-for-sale-at-The-Jigsaw-Condominium-2-Business-area-CBP-and-American-Embassy-Chiang-Mai.html
ที่ดิน,"1,500,000",ใกล้ ถนนชม.-พร้าว แค่ 100 ม. | ใกล้ปั๊ม ปตท. 200 ม. | ก่อนถึงตลาดเจดีย์แม่ครัว 2 กม. | เข้าเมือง 17กม. | ถนนเชียงใหม่-พร้าว(สี่เลน) | ใกล้ปั๊มปตท. 200ม. | ตลาดเจดีย์แม่ครัว 2กม. | ใกล้ม.แม่โจ้ 7 กม. | เส้นตรงเข้าเมือง 17 กม. | ใกล้ที่ทำการตำรวจภูธรภาค 5 (แห่งใหม่) | ต.แม่แฝก อ.สันทราย จ.เชียงใหม่ - ถนนทางหลวง 1001 (เชียงใหม่-พร้าว) - เข้าซอยแค่ 100 เมตร | ใกล้ปั๊มปตท. เซเว่น กาแฟอเมซอน 200 ม. | ใกล้สถานีตำรวจแม่แฝก 1.5 กม. | ก่อนถึงตลาดเจดีย์แม่ครัว 2 กม. | ห่างจากมหาวิทยาลัยแม่โจ้ 7 กม. | ทางตรงเข้าตัวเมือง 17 กม.,143 ตรว. | 143.2 ตรว. | หน้ากว้าง 22 เมตร ความลึก 25 เมตร | 143 ตรว.,15/100,https://www.livinginsider.com/livingdetail/2873535/Land-143-sq-m-near-Chom-Phrao-Road-only-100-m-there-is-a-bus-near-the-PTT-gas-station-200-m-.html
