Post_URL,Full_Post_Content
https://www.facebook.com/groups/homerentcm/posts/25388824220754690/,บ้านว่างให้เช่าเดือนละ 5000 บาทโซนหน้าศาลากลางเชียงใหม่ในหมู่บ้านเทียมพรทาวน์เฮ้าส์ 2 ชั้น- 2ห้องนอน- 1 ห้องน้ำ- 1 ห้องนั่งเล่น- 1 ห้องครัว-1 ที่จอดรถในบ้าน(หน้าบ้านอีก1)- แอร์ 1 ห้องนอน- เครื่องทำน้ำอุ่น* น้ำไฟชำระเองตามบิลไม่มีบวกเพิ่มเข้าอยู่ ล่วงหน้า 1 เดือน 5000 บาท ประกัน 10000 บาทสนใจติดต่อ 0825566147 คุณ ก็อต หรือ in box สอบถามได้ครับ
https://www.facebook.com/groups/homerentcm/posts/25387194854250960/,"4 ห้องนอน 3 ห้องน้ำ - บ้านหมู่บ้านสวนนนทรี, หนองจ๊อม, หมู่ที่ 2, เชียงใหม่ 50210, ประเทศไทยบ้านเช่าหลังใหญ่ ใกล้เมือง ราคาถูก หมู่บ้านสวนนนทรี ขนาด 4 ห้องนอน 3 ห้องน้ำ ที่ดิน 100 ตรว. จอดรถ 2 คัน แอร์ 5 น้ำอุ่น 2 เลี้ยงสัตว์เลี้ยงได้ค่าเข่า 18,000 บาท/เดือน ( สัญญา 1 ปี)ค่าประกัน 2 เดือน จ่ายล่วงหน้า 1 เดือน ( รวมจ่าย 3 เดือน เข้าอยู่ได้เลย) หมู่บ้านอยู่ตรงข้ามกาดรวมโชคไม่รับคนจีนสนใจทักด่วนค่ะ 081-8843882 แหม่มค่ะ"
https://www.facebook.com/groups/homerentcm/posts/25387220054248440/,"ให้เช่า The Kanava condo แยกรวมโชค (คอนโดใหม่)• 1 ห้องนอน 1 ห้องน้ำ 1 ห้องรับแขก 1 ห้องครัว• 38 ตารางเมตร ชั้น 7 วิวแม่น้ำและดอยสุเทพ• เฟอร์นิเจอร์ครบ - แอร์ 2 - เครื่องทำน้ำร้อน 1 - โซฟา โต๊ะอาหาร เตียง ตู้เสื้อผ้า โต๊ะเครื่องแป้ง - ทีวี ตู้เย็น ไมโครเวฟ เครื่องซักผ้า• Digital door locks, face scan, Bluetooth • ส่วนกลาง สระว่ายน้ำ ฟิตเนส co-working room ให้เช่า 16,000 บาท/เดือน สัญญา 1 ปี ประกัน 2 เดือน + ล่วงหน้า 1 เดือน The Kanava condo for rent. Located at Ruamchok area. (Brand new condo)• 1 bedroom 1 bathroom 1 living room 1 kitchen. • 38 square meter, 7th floor, river and mountain view.• fully furnished - 2 air conditioning - 1 hot shower - sofa, dining table, bedroom set - tv, fridge, microwave, washing machine • digital door locks • pool, gym, face scan, Bluetooth, co-working room Rent at 16,000 Baht / month. 1 year contract, 2 months deposit + 1 month in advance.Contract: 088-2536361 #รับโคเอเจ้นท์"
https://www.facebook.com/groups/homerentcm/posts/25385663021070810/,"For rent in Ornsirin Village 3Land area: 85.5 square wah, usable area: 120 square meters3 bedrooms 3 bathroomsAdd furniture photos and reduced rent price25,000 baht/month, 1-year contract(2-month security deposit + 1 month advance rent)Free common area feesFree home internetFree lawn mowing every 2 monthsFree termite and insect spraying every month until June 2026New furniture and appliancesDigital Door Lock24,200 BTU inverter air conditioner downstairs16.7 cubic feet 4-door refrigeratorDining table with 4 chairsCoffee tableKitchen cabinets2-tier stainless steel dish rackMicrowaveWater heater in master bedroomNew mattress, wardrobe, and mirror cabinet in 3rd room360-degree dust-proof and dust-mite-proof bed covers for 3 bedroomsRain showers in both bathroomsCold water faucets in all 3 bathroomsBidet hoses in all 3 bathroomsSink faucetsIncludes furniture and appliances:- 2 water heaters- 4 air conditioners- Refrigerator- Washing machine- Range hood, gas stove- Display cabinet- Sofa- Coffee table- Dining table with 4 chairs- Kitchen cabinets- 55-inch smart TV- TV cabinet- 2-tier stainless steel dish racks- Microwave- Bed, mattress, wardrobe, glass cabinets for 3 bedrooms- 2 keycards- 2 fansFacilities: 24-hour security Communal swimming pool Fitness center CCTV Lawn area surrounding the projectNearby places:Near Charoen Charoen MarketNear Uitha MarketNear Tha Ruea MarketNear Central FestivalNear Mill Hill International School ThailandThere is a barbecue restaurant in front of the village. No pets allowed.Contact us to schedule a house viewing via Line: housetwo68"
https://www.facebook.com/groups/homerentcm/posts/25387839737519805/,"บ้านสองชั้น ปล่อยเช่าและขาย ใกล้เซ็นทรัลเฟสฯ 3 กิโลเมตร ใกล้ตลาด 3 แยก 2 กิโลเมตร ใกล้ Meta Mall 2 กิโลเมตรใกล้โฮมโปรสันทราย 700 เมตรใกล้โลตัส โกเฟรช ซูเปอร์มาร์เก็ต 1.2 กิโลเมตร พิกัดโซนสันทราย น้ำไม่ท่วมแน่นอนราคาขาย บาทราคาเช่าเพียง /เดือนพื้นที่ 58 ตารางวาพื้นที่ใช้สอยเยอะมาก4 ห้องนอน 2 ห้องน้ำ1 ห้องครัว 1 ห้องนั่งเล่นห้องใต้บันไดจอดรถได้ 2 คันพร้อมเฟอร์นิเจอร์แอร์ 2 ตัวเครื่องซักผ้าตู้เย็นเตาแก๊สโต๊ะกินข้าวพร้อมเก้าอี้ชั้นวางของตู้เสื้อผ้าเครื่องทำน้ำอุ่น 2 ห้องซิงค์ล้างจานแท้งค์น้ำโลเคชั่น เดอะ พาทิโอ (The Patio)ติดต่อสอบถามเพิ่มเติมโทร : 085-961-2580(คุณหมวย)**ไม่รับสัตว์เลี้ยงนะคะ**------------------------------------------ 2 storey house for sale and rent 3kms from Central Chiang Mai 2kms from Sam-Yak fresh market 2kms from Meta Mall700 meters from HomePro1.2kms from Lotus's Go Fresh Located in San Sai area This area has never been flooeded3,500,000 THB for sale15,000 THB/month0.573 acrePlenty of space4 bedrooms / 2 bathrooms1 kitchen / 1 living roomStorage room2 car slots garageFurniture included2 air conditionersWashing machineRefrigeratorStoveDining table and chairsShelfWardrobe2 water heatersKitchen sinkWater tankWhere is this place located **The Patio**For more informationsTel : 085-961-2580 (TH)Tel : 097-238-8476 (EN)**Pet is strictly prohibitted**"
https://www.facebook.com/groups/homerentcm/posts/25386979627605816/,"3 Beds 2 Baths - Houseวัดดอนแก้ว, ดอนแก้ว, หมู่ที่ 2, เชียงใหม่ 50180, ประเทศไทยบ้านให้เช่า หมู่9 บ้านสบสา-หนองฟาน ซ.11 อ.แม่ริม จ.เชียงใหม่ (น้ำไม่ท่วม)3 ห้องนอน 2ห้องน้ำ - มีแอร์ทุกห้อง- ตู้เย็น- เครื่องทำน้ำอุ่น- ที่นอน 2ห้องเดือนละ 7,000 บาท จ่ายล่วงหน้า 2เดือน- โรงพยาบาลนครพิงค์ 5 กิโล- ศาลากลางเชียงใหม่ 8 กิโล- สนามบินเชียงใหม่ 18 กิโล- เซนเฟส 13 กิโล- กาดฝรั่งแม่ริม 7 กิโลสอบถามเพิ่มเติม messager หรือ โทร 092-9955188 ติดต่อเพื่อดูบ้าน ที่ ครัววาสนา@แอ"
https://www.facebook.com/groups/homerentcm/posts/25387873744183071/,"2 ห้องนอน 2 ห้องน้ำ - บ้านสันทราย, เทศบาลนครเชียงใหม่, จังหวัดเชียงใหม่ 50210เปิดจองบ้านเช่าหมู่บ้านธันยากร หลังเซเว่นหลิ่งมื่นเข้าซอย 20 เมตร ห่างจากเเม่โจ้ 700 เมตรราคาเดือนละ 7000ประกันบ้าน 14,000( ประกันผ่อนจ่ายใด้ 2 งวด) เข้าอยู่จ่ายเพียง 21,000บาท 2 ห้อง 2 ห้องนำ้ 1 รับเเขก 1 ครัว 1 จอดรถยนต์ ห่างจากมอเเม่โจ้ 500 เมตร หลังเซเว่นหลิ่งมื่น พร้อมเข้าอยู่ ต้น ธันวาคม 2568ในบ้านมี ตู้เย็นโต๊ะกินข้าวซิ้งค์ล้างจานเครื่องทำนำ้อุ่นเตียงนอนพร้อมที่นอนผ้าม่านเเอร์ในห้องนอน 2 ตัวงดสัตว์เลี้ยงค่าส่วนกลางถูกมากปีละ 960 บาทสนใจติดต่อพี่เอ 0959591641งดรับนายหน้าค่ะ"
https://www.facebook.com/groups/homerentcm/posts/25386810707622708/,บ้านแฝด สีน้ำตาลว่างห้องซ้าย แถววงแหวนรอบสอง สันทราย สี่แยกแม่กวงก่อนถึงตลาดแม่กวง ฝั่งขาเข้าเมืองห่างจากเซนทรัลเฟสติวัล มาทางดอยสะเก็ดประมาณ 5 กม.ห่างจากกาดสามแยก ประมาณ 4 กมบ้านอยู่ในสวนส่วนบุคคล เหมาะกับคนรักธรรมชาติเงียบสงบ สะอาด ปลอดภัยเจ้าของไม่จู้จี้ คุยง่ายเดินทางเข้าเมืองสะดวก รถไม่ติด 2 ห้องนอน 1 ห้องน้ำ 1 ห้องครัวให้เช่า 3500 บาท/เดือน ไม่รวมค่าน้ำค่าไฟประกันเพียง 1 เดือน สามารถติดอินเตอร์เนตเองได้รับคนวัยทำงานNo TM30งดเลี้ยงสัตว์สนใจรายละเอียดติดต่อ 0888049812
https://www.facebook.com/groups/homerentcm/posts/25385668504403595/,บ้านเช่า หลังใหญ่ เฟอร์นิเจอร์ครบ 3ห้องนอน 3 ห้องน้ำ แอร์ครบทุกห้อง 5ตัว เครื่องทำน้ำอุ่น ตู้เย็น ชุดโต๊ะกินข้าว โซฟา โทรทัศน์ จอดรถได้ 3-4คัน บ้านรีโนเวทใหม่ เดินทางสะดวก บ้านในโครงการ สะดวก ปลอดภัย มี รปภ.24ชั่วโมง สนใจนัดดูบ้านได้ แถวสันกำแพง0932596806
https://www.facebook.com/groups/homerentcm/posts/25386545934315852/,"2 ห้องนอน 2 ห้องน้ำ - บ้านสารภี, เทศบาลนครเชียงใหม่, จังหวัดเชียงใหม่ 50140"
